ds,y
9/19/2014,3515
9/20/2014,1343
9/21/2014,1234
9/22/2014,4108
9/23/2014,4015
9/24/2014,3874
9/25/2014,3374
9/26/2014,3093
9/27/2014,1250
9/28/2014,1265
9/29/2014,3936
9/30/2014,4015
10/01/2014,4046
10/02/2014,3827
10/03/2014,3546
10/04/2014,1312
10/05/2014,1328
10/06/2014,4077
10/07/2014,3874
10/08/2014,4124
10/09/2014,3796
10/10/2014,3468
10/11/2014,1703
10/12/2014,1625
10/13/2014,4093
10/14/2014,4140
10/15/2014,4046
10/16/2014,3796
10/17/2014,3468
10/18/2014,1484
10/19/2014,1375
10/20/2014,4077
10/21/2014,4046
10/22/2014,3843
10/23/2014,3499
10/24/2014,3546
10/25/2014,1437
10/26/2014,1500
10/27/2014,4186
10/28/2014,3765
10/29/2014,3624
10/30/2014,3702
10/31/2014,3234
11/01/2014,1468
11/02/2014,1468
11/03/2014,3890
11/04/2014,3905
11/05/2014,3577
11/06/2014,3577
11/07/2014,3421
11/08/2014,1437
11/09/2014,1140
11/10/2014,3608
11/11/2014,3843
11/12/2014,3671
11/13/2014,3671
11/14/2014,3218
11/15/2014,1281
11/16/2014,1000
11/17/2014,4046
11/18/2014,3890
11/19/2014,3499
11/20/2014,3499
11/21/2014,3155
11/22/2014,1187
11/23/2014,1078
11/24/2014,3843
11/25/2014,3718
11/26/2014,3437
11/27/2014,3343
11/28/2014,2937
11/29/2014,1140
11/30/2014,1109
12/01/2014,3499
12/02/2014,3515
12/03/2014,3124
12/04/2014,3218
12/05/2014,2656
12/06/2014,1156
12/07/2014,937
12/08/2014,3296
12/09/2014,3280
12/10/2014,3046
12/11/2014,2905
12/12/2014,2702
12/13/2014,1015
12/14/2014,1093
12/15/2014,3062
12/16/2014,3312
12/17/2014,2890
12/18/2014,2796
12/19/2014,2359
12/20/2014,890
12/21/2014,640
12/22/2014,2546
12/23/2014,1890
12/24/2014,844
12/25/2014,281
12/26/2014,500
12/27/2014,656
12/28/2014,625
12/29/2014,1812
12/30/2014,1671
12/31/2014,953
01/01/2015,828
01/02/2015,1890
01/03/2015,890
01/04/2015,984
01/05/2015,3640
01/06/2015,3749
01/07/2015,3671
01/08/2015,3265
01/09/2015,3155
01/10/2015,1312
01/11/2015,1265
01/12/2015,3999
1/13/2015,3718
1/14/2015,3358
1/15/2015,3358
1/16/2015,3202
1/17/2015,1343
1/18/2015,1375
1/19/2015,3624
1/20/2015,3593
1/21/2015,3765
1/22/2015,3608
1/23/2015,3030
1/24/2015,1265
1/25/2015,1125
1/26/2015,3858
1/27/2015,3905
1/28/2015,3640
1/29/2015,3343
1/30/2015,3187
1/31/2015,1734
02/01/2015,1406
02/02/2015,3780
02/03/2015,3749
02/04/2015,3655
02/05/2015,3608
02/06/2015,3171
02/07/2015,1234
02/08/2015,1140
02/09/2015,3936
02/10/2015,3905
02/11/2015,3811
02/12/2015,3702
2/13/2015,3155
2/14/2015,1234
2/15/2015,1234
2/16/2015,4077
2/17/2015,3749
2/18/2015,3577
2/19/2015,3249
2/20/2015,3171
2/21/2015,1281
2/22/2015,1234
2/23/2015,3874
2/24/2015,3780
2/25/2015,3577
2/26/2015,3218
2/27/2015,3452
2/28/2015,1515
03/01/2015,1250
03/02/2015,3843
03/03/2015,3983
03/04/2015,4030
03/05/2015,3796
03/06/2015,3358
03/07/2015,1297
03/08/2015,1343
03/09/2015,4499
03/10/2015,4030
03/11/2015,3640
03/12/2015,3671
3/13/2015,3249
3/14/2015,1281
3/15/2015,1156
3/16/2015,3983
3/17/2015,4093
3/18/2015,3702
3/19/2015,4218
3/20/2015,3109
3/21/2015,1203
3/22/2015,1187
3/23/2015,3640
3/24/2015,3952
3/25/2015,4015
3/26/2015,3624
3/27/2015,3234
3/28/2015,1421
3/29/2015,1218
3/30/2015,3983
3/31/2015,4046
04/01/2015,3530
04/02/2015,3093
04/03/2015,1390
04/04/2015,1062
04/05/2015,734
04/06/2015,922
04/07/2015,3608
04/08/2015,3530
04/09/2015,3312
04/10/2015,2952
04/11/2015,1203
04/12/2015,1172
4/13/2015,3858
4/14/2015,3890
4/15/2015,3577
4/16/2015,3468
4/17/2015,3015
4/18/2015,1218
4/19/2015,1109
4/20/2015,3687
4/21/2015,3905
4/22/2015,3936
4/23/2015,3483
4/24/2015,3265
4/25/2015,1281
4/26/2015,1172
4/27/2015,3765
4/28/2015,3468
4/29/2015,4015
4/30/2015,3655
05/01/2015,2968
05/02/2015,1156
05/03/2015,906
05/04/2015,1015
05/05/2015,3874
05/06/2015,3655
05/07/2015,3093
05/08/2015,2968
05/09/2015,1297
05/10/2015,1047
05/11/2015,3952
05/12/2015,3765
5/13/2015,3562
5/14/2015,3483
5/15/2015,3218
5/16/2015,1234
5/17/2015,1187
5/18/2015,4030
5/19/2015,4077
5/20/2015,3749
5/21/2015,3358
5/22/2015,2968
5/23/2015,1125
5/24/2015,859
5/25/2015,1093
5/26/2015,3515
5/27/2015,3562
5/28/2015,3483
5/29/2015,2952
5/30/2015,1062
5/31/2015,1093
06/01/2015,3624
06/02/2015,3811
06/03/2015,3562
06/04/2015,3155
06/05/2015,2890
06/06/2015,1140
06/07/2015,1047
06/08/2015,3796
06/09/2015,3827
06/10/2015,3437
06/11/2015,3530
06/12/2015,3155
6/13/2015,1406
6/14/2015,1250
6/15/2015,4389
6/16/2015,3655
6/17/2015,3765
6/18/2015,3687
6/19/2015,2952
6/20/2015,1203
6/21/2015,1172
6/22/2015,3827
6/23/2015,3624
6/24/2015,3577
6/25/2015,3343
6/26/2015,3374
6/27/2015,1140
6/28/2015,1109
6/29/2015,3702
6/30/2015,3546
07/01/2015,3374
07/02/2015,3390
07/03/2015,2968
07/04/2015,531
07/05/2015,281
07/06/2015,3843
07/07/2015,3905
07/08/2015,3671
07/09/2015,3390
07/10/2015,3093
07/11/2015,1203
07/12/2015,1218
7/13/2015,4218
7/14/2015,3874
7/15/2015,3624
7/16/2015,3452
7/17/2015,2905
7/18/2015,1062
7/19/2015,1047
7/20/2015,3905
7/21/2015,3858
7/22/2015,3655
7/23/2015,3296
7/24/2015,3187
7/25/2015,1156
7/26/2015,1187
7/27/2015,3827
7/28/2015,3718
7/29/2015,3640
7/30/2015,3218
7/31/2015,3015
08/01/2015,1203
08/02/2015,984
08/03/2015,3483
08/04/2015,3655
08/05/2015,3530
08/06/2015,3421
08/07/2015,2812
08/08/2015,1156
08/09/2015,1031
08/10/2015,3858
08/11/2015,3452
08/12/2015,3562
8/13/2015,3280
8/14/2015,2921
8/15/2015,1172
8/16/2015,937
8/17/2015,3702
8/18/2015,3483
8/19/2015,3546
8/20/2015,3171
8/21/2015,3015
8/22/2015,953
8/23/2015,1047
8/24/2015,3811
8/25/2015,3530
8/26/2015,3530
8/27/2015,3452
8/28/2015,2999
8/29/2015,1156
8/30/2015,859
8/31/2015,1297
09/01/2015,3655
09/02/2015,3202
09/03/2015,3437
09/04/2015,2984
09/05/2015,1218
09/06/2015,1078
09/07/2015,3421
09/08/2015,3405
09/09/2015,3296
09/10/2015,3405
09/11/2015,2937
09/12/2015,1265
9/13/2015,953
9/14/2015,3780
9/15/2015,3702
9/16/2015,3405
9/17/2015,3405
9/18/2015,2999
9/19/2015,1125
9/20/2015,1015
9/21/2015,3843
9/22/2015,3718
9/23/2015,3093
9/24/2015,3265
9/25/2015,2859
9/26/2015,1156
9/27/2015,1172
9/28/2015,3390
9/29/2015,3702
9/30/2015,3468
10/01/2015,3312
10/02/2015,3093
10/03/2015,1297
10/04/2015,1093
10/05/2015,3780
10/06/2015,3624
10/07/2015,3624
10/08/2015,3452
10/09/2015,3109
10/10/2015,1203
10/11/2015,1109
10/12/2015,3624
10/13/2015,3687
10/14/2015,3749
10/15/2015,3765
10/16/2015,3499
10/17/2015,1453
10/18/2015,1203
10/19/2015,3827
10/20/2015,3640
10/21/2015,3655
10/22/2015,3655
10/23/2015,2905
10/24/2015,1172
10/25/2015,1062
10/26/2015,3312
10/27/2015,3405
10/28/2015,3515
10/29/2015,3452
10/30/2015,2999
10/31/2015,1062
11/01/2015,1015
11/02/2015,3608
11/03/2015,3640
11/04/2015,3671
11/05/2015,3202
11/06/2015,2874
11/07/2015,1234
11/08/2015,875
11/09/2015,3109
11/10/2015,3515
11/11/2015,2921
11/12/2015,3093
11/13/2015,2765
11/14/2015,906
11/15/2015,875
11/16/2015,3343
11/17/2015,3374
11/18/2015,3234
11/19/2015,3046
11/20/2015,2749
11/21/2015,1078
11/22/2015,844
11/23/2015,3155
11/24/2015,3046
11/25/2015,2671
11/26/2015,3062
11/27/2015,2624
11/28/2015,1062
11/29/2015,937
11/30/2015,3171
12/01/2015,3046
12/02/2015,2859
12/03/2015,2796
12/04/2015,2577
12/05/2015,1047
12/06/2015,922
12/07/2015,3124
12/08/2015,2905
12/09/2015,2656
12/10/2015,2749
12/11/2015,6014
12/12/2015,1984
12/13/2015,1078
12/14/2015,3358
12/15/2015,2827
12/16/2015,2905
12/17/2015,2781
12/18/2015,2203
12/19/2015,1000
12/20/2015,765
12/21/2015,2640
12/22/2015,2171
12/23/2015,1718
12/24/2015,703
12/25/2015,266
12/26/2015,562
12/27/2015,609
12/28/2015,859
12/29/2015,1687
12/30/2015,1484
12/31/2015,1000
01/01/2016,562
