ds,y
14/05/2015,537.61
15/05/2015,588.97
16/05/2015,301.88
17/05/2015,99.43
18/05/2015,754.1
19/05/2015,720.97
20/05/2015,594.75
21/05/2015,570.09
22/05/2015,536.69
23/05/2015,284.9
24/05/2015,72.98
25/05/2015,281.06
26/05/2015,710.42
27/05/2015,591.02
28/05/2015,543.07
29/05/2015,532.52
30/05/2015,238.87
31/05/2015,84.17
01/06/2015,677.03
02/06/2015,593.32
03/06/2015,633.13
04/06/2015,507.39
05/06/2015,530.86
06/06/2015,262.32
07/06/2015,94.37
08/06/2015,658.33
09/06/2015,738.26
10/06/2015,673.52
11/06/2015,654.86
12/06/2015,537.62
13/06/2015,358.54
14/06/2015,135.54
15/06/2015,746.41
16/06/2015,757.58
17/06/2015,796.63
18/06/2015,677.2
19/06/2015,681.7
20/06/2015,295.44
21/06/2015,127.52
22/06/2015,918.98
23/06/2015,861.2
24/06/2015,809.22
25/06/2015,722.17
26/06/2015,627.52
27/06/2015,315.15
28/06/2015,122.1
29/06/2015,781.06
30/06/2015,675.68
01/07/2015,629.5
02/07/2015,668.89
03/07/2015,491.68
04/07/2015,230.94
05/07/2015,123.89
06/07/2015,714.91
07/07/2015,700.79
08/07/2015,717.38
09/07/2015,684.45
10/07/2015,467.12
11/07/2015,294.26
12/07/2015,101.3
13/07/2015,829.22
14/07/2015,673.23
15/07/2015,646.52
16/07/2015,533.16
17/07/2015,461.99
18/07/2015,300.76
19/07/2015,115.32
20/07/2015,831.07
21/07/2015,766.33
22/07/2015,806.44
23/07/2015,770.65
24/07/2015,756.36
25/07/2015,359.27
26/07/2015,134.41
27/07/2015,885.63
28/07/2015,874.83
29/07/2015,820.4
30/07/2015,691.21
31/07/2015,650.75
01/08/2015,430.74
02/08/2015,104.19
03/08/2015,877.03
04/08/2015,851.12
05/08/2015,903.38
06/08/2015,721.65
07/08/2015,668.55
08/08/2015,366.91
09/08/2015,137.71
10/08/2015,1061.84
11/08/2015,830.48
12/08/2015,831.18
13/08/2015,729.38
14/08/2015,681.08
15/08/2015,357.12
16/08/2015,112.97
17/08/2015,874.17
18/08/2015,808.64
19/08/2015,829.27
20/08/2015,589.22
21/08/2015,594.88
22/08/2015,281.77
23/08/2015,160.55
24/08/2015,1038.23
25/08/2015,755.61
26/08/2015,705.79
27/08/2015,702.61
28/08/2015,522.42
29/08/2015,296.25
30/08/2015,103.85
31/08/2015,471.06
01/09/2015,902.11
02/09/2015,898.25
03/09/2015,788.37
04/09/2015,636.9
05/09/2015,518
06/09/2015,121.62
07/09/2015,957.16
08/09/2015,805.37
09/09/2015,874.28
10/09/2015,826.74
11/09/2015,690.64
12/09/2015,451.71
13/09/2015,144.55
14/09/2015,913.83
15/09/2015,813.14
16/09/2015,882.99
17/09/2015,753.26
18/09/2015,643.35
19/09/2015,510.06
20/09/2015,158.88
21/09/2015,907.9
22/09/2015,757.2
23/09/2015,621.84
24/09/2015,743.03
25/09/2015,592.14
26/09/2015,289.69
27/09/2015,54.78
28/09/2015,691.48
29/09/2015,696.67
30/09/2015,702.09
01/10/2015,625.79
02/10/2015,664.53
03/10/2015,430.04
04/10/2015,77.46
05/10/2015,947.27
06/10/2015,813.64
07/10/2015,725.29
08/10/2015,643.97
09/10/2015,609.38
10/10/2015,400.3
11/10/2015,80.12
12/10/2015,898.15
13/10/2015,782.64
14/10/2015,851.67
15/10/2015,797.77
16/10/2015,599.64
17/10/2015,439.93
18/10/2015,78.81
19/10/2015,908.26
20/10/2015,748.47
21/10/2015,836.32
22/10/2015,795.62
23/10/2015,711.57
24/10/2015,430.05
25/10/2015,131.66
26/10/2015,789.04
27/10/2015,702.17
28/10/2015,763.44
29/10/2015,727.88
30/10/2015,544.86
31/10/2015,72.51
01/11/2015,73.14
02/11/2015,776.98
03/11/2015,749.13
04/11/2015,724.94
05/11/2015,637.22
06/11/2015,619.26
07/11/2015,428.78
08/11/2015,71.05
09/11/2015,768.28
10/11/2015,764.71
11/11/2015,718.11
12/11/2015,678.26
13/11/2015,591.03
14/11/2015,495.03
15/11/2015,70.05
16/11/2015,804.92
17/11/2015,791.37
18/11/2015,770.59
19/11/2015,569.78
20/11/2015,596.67
21/11/2015,431.26
22/11/2015,67.16
23/11/2015,780.73
24/11/2015,728.9
25/11/2015,771.42
26/11/2015,683.29
27/11/2015,726.43
28/11/2015,491.82
29/11/2015,84.04
30/11/2015,852.15
01/12/2015,734.95
02/12/2015,723.33
03/12/2015,554.83
04/12/2015,577.33
05/12/2015,389.49
06/12/2015,76.75
07/12/2015,857.28
08/12/2015,742.19
09/12/2015,788.29
10/12/2015,634.71
11/12/2015,687.64
12/12/2015,499.69
13/12/2015,54.77
14/12/2015,798.76
15/12/2015,630.63
16/12/2015,668.97
17/12/2015,638.74
18/12/2015,499.11
19/12/2015,376.51
20/12/2015,75.49
21/12/2015,752.65
22/12/2015,585.25
23/12/2015,351.93
24/12/2015,211.6
25/12/2015,115.76
26/12/2015,170.41
27/12/2015,56.79
28/12/2015,377.92
29/12/2015,646.73
30/12/2015,562.36
31/12/2015,422.74
01/01/2016,238.86
02/01/2016,382.41
03/01/2016,102.42
04/01/2016,786.55
05/01/2016,803.01
06/01/2016,791.62
07/01/2016,784.19
08/01/2016,658.88
09/01/2016,443.58
10/01/2016,81.38
11/01/2016,1025.04
12/01/2016,888.46
13/01/2016,958.14
14/01/2016,707.77
15/01/2016,779.04
16/01/2016,529.92
17/01/2016,82.52
18/01/2016,1000.52
19/01/2016,842.12
20/01/2016,901.42
21/01/2016,840.02
22/01/2016,720.29
23/01/2016,443.86
24/01/2016,93.13
25/01/2016,888.53
26/01/2016,785.72
27/01/2016,922.37
28/01/2016,888.99
29/01/2016,731.88
30/01/2016,509.49
31/01/2016,128.45
01/02/2016,985.19
02/02/2016,922.06
03/02/2016,979.91
04/02/2016,866.48
05/02/2016,720.09
06/02/2016,464.53
07/02/2016,78.72
08/02/2016,907.08
09/02/2016,571.28
10/02/2016,563.29
11/02/2016,699.15
12/02/2016,644.38
13/02/2016,487.11
14/02/2016,43.78
15/02/2016,820.17
16/02/2016,618.61
17/02/2016,742.96
18/02/2016,700.68
19/02/2016,658.63
20/02/2016,201.82
21/02/2016,37.15
22/02/2016,821.49
23/02/2016,594.08
24/02/2016,619.46
25/02/2016,752.31
26/02/2016,674.85
27/02/2016,196.92
28/02/2016,35.17
29/02/2016,767.18
01/03/2016,535.22
02/03/2016,655.43
03/03/2016,664.14
04/03/2016,536.13
05/03/2016,169.71
06/03/2016,35.68
07/03/2016,805.82
08/03/2016,571.81
09/03/2016,727.47
10/03/2016,654.4
11/03/2016,601.52
12/03/2016,166.66
13/03/2016,25.18
14/03/2016,690.8
15/03/2016,614.89
16/03/2016,669.93
17/03/2016,622.46
18/03/2016,549.64
19/03/2016,207.93
20/03/2016,70.59
21/03/2016,775.77
22/03/2016,594.55
23/03/2016,664.13
24/03/2016,677.03
25/03/2016,317.56
26/03/2016,177.97
27/03/2016,65.18
28/03/2016,415.62
29/03/2016,594.09
30/03/2016,682.33
31/03/2016,665.73
01/04/2016,740.12
02/04/2016,205.48
03/04/2016,76.5
04/04/2016,855.32
05/04/2016,654.33
06/04/2016,652.38
07/04/2016,619.66
08/04/2016,548.1
09/04/2016,192.52
10/04/2016,83.77
11/04/2016,633.53
12/04/2016,518.51
13/04/2016,514.1
14/04/2016,598.1
15/04/2016,553.89
16/04/2016,187.76
17/04/2016,42.95
18/04/2016,624.32
19/04/2016,460.31
20/04/2016,485.84
21/04/2016,538.25
22/04/2016,479.1
23/04/2016,143.55
24/04/2016,29.35
25/04/2016,754.56
26/04/2016,538.99
27/04/2016,515.38
28/04/2016,596.19
29/04/2016,460.91
30/04/2016,165.89
01/05/2016,20.62
02/05/2016,344.74
03/05/2016,649
04/05/2016,474.68
05/05/2016,488.63
